"keys","zh_TW","en"
"NAV_BACK","← 返回","← Back"
"NAV_MAIN_MENU","返回主選單","Main Menu"
"NAV_LEVEL_SELECT","選擇關卡","Level Select"
"NAV_BESTIARY","圖鑑 (怪物 / 塔 / 魔法)","Compendium (Monsters / Towers / Spells)"
"NAV_SETTINGS","設定","Settings"
"COMMON_LEVEL_N","第 {n} 關","Level {n}"
"COMMON_SPELLS","魔法","Spells"
"COMMON_TOWERS","守城武器","Defenses"
"MENU_TITLE","塔 防 要 塞","TOWER FORTRESS"
"MENU_SUBTITLE","Tower Fortress","Defend the Last Bastion"
"MENU_PLAY","開始遊戲  (第 {n} 關)","Play  (Level {n})"
"MENU_SHOP","商店  (解鎖塔 / 魔法)","Shop  (Towers / Spells)"
"MENU_UPGRADE","升級介面","Upgrades"
"MENU_QUICKBAR","快捷列  (戰鬥底欄擺邊六座塔)","Quick Bar  (Your six battle slots)"
"QUICKBAR_TITLE","快捷列設定","Quick Bar"
"QUICKBAR_HINT","撳一個槽,再撳一座塔就放入去。撳兩個槽 = 對調。再撳同一座塔 = 清空。","Tap a slot then a tower to assign it. Tap two slots to swap them. Tap the same tower again to clear."
"MENU_GALLERY","美術畫廊 (Debug)","Art Gallery (Debug)"
"TOAST_CURSE_REFUND","詛咒塔已重造,已退還 {n} 魔晶","Curse Tower reforged — {n} Crystals refunded"
"TOAST_NEED_CRYSTALS","魔晶不足!還差 {n}","Not enough Crystals — {n} short"
"LEVELSEL_CLEARED","★ 已通關","★ Cleared"
"LEVELSEL_AVAILABLE","可挑戰","Available"
"LEVELSEL_LOCKED","未解鎖","Locked"
"LEVELSEL_REPLAY_HALF","重玩魔晶減半","Replay pays half"
"LEVELSEL_DANGER","危險","Danger"
"WALL_HINT_7","佢哋一路行一路回血,仲會互相治療 —— 打得快過佢哋回血先清得走","They regenerate as they walk and heal each other — out-damage the healing or they never go down"
"WALL_HINT_13","殺死咗會返生,打散咗會分裂 —— 逐隻逐隻打,追唔到佢哋嘅數量","The dead get back up and the big ones split — killing them one at a time will never keep up"
"WALL_HINT_18","佢哋一樣會分裂,但今次每一隻都有護甲同魔抗 —— 範圍傷害仲要打得穿佢哋先有用","They still split, but now every body has armour and resistance — your splash has to punch through as well"
"SHOP_TITLE","商店","Shop"
"SHOP_OWNED","已擁有","Owned"
"SHOP_STARTER","初始解鎖","Starter"
"SHOP_UNLOCK","解鎖","Unlock"
"SHOP_LEARN","學習","Learn"
"RESULT_TITLE","關卡完成!","Level Complete!"
"RESULT_KILLS","擊殺數","Kills"
"RESULT_CLEAR_REWARD","通關獎勵","Clear Reward"
"RESULT_FIRST_CLEAR","首次通關獎勵","First Clear Bonus"
"RESULT_TOTAL","合計","Total"
"RESULT_REPLAY_NOTE","(重玩關卡,魔晶獎勵減半)","(Replay — Crystal reward halved)"
"RESULT_NEXT","下一關 ({n})","Next Level ({n})"
"RESULT_REPLAY","重玩本關","Replay Level"
"FAIL_TITLE","防線失守!","Defenses Breached!"
"FAIL_SUB","有怪物攻入基地 — 第 {n} 關","Monsters reached the keep — Level {n}"
"FAIL_KILLS","擊殺數: {n}","Kills: {n}"
"FAIL_CRYSTALS_EARNED","獲得魔晶","Crystals Earned"
"FAIL_MSG_DEFAULT","擊敗 boss 可獲得更多!","Defeat the boss to earn more!"
"FAIL_MSG_TOO_SHORT","戰鬥太短,今次冇魔晶獎勵","Battle too short — no Crystals this time"
"FAIL_MSG_BOSS","已擊傷首領 {pct}% — 擊敗佢可獲得更多!","Boss worn down {pct}% — finish it for more!"
"FAIL_PROGRESS","戰鬥進度 {pct}% (失敗上限 {cap} 魔晶)","Progress {pct}% (defeat cap {cap} Crystals)"
"FAIL_RETRY","重試本關","Retry Level"
"SET_VOLUME","總音量","Master"
"SET_VOLUME_BGM","音樂","Music"
"SET_VOLUME_SFX","音效","Sound"
"SET_MUTE_ON","靜音: 開","Mute: On"
"SET_MUTE_OFF","靜音: 關","Mute: Off"
"SET_RESET","重置存檔","Reset Save"
"SET_RESET_CONFIRM","確定要重置? 再按一次","Confirm reset? Tap again"
"SET_RESET_DONE","已重置","Save reset"
"SET_STATS","最高通關: 第 {n} 關     魔晶: {c}","Best: Level {n}     Crystals: {c}"
"SET_LANGUAGE","語言 / Language","Language / 語言"
"GALLERY_TITLE","美術畫廊 — 辨識度審查","Art Gallery — Readability Audit"
"GALLERY_MONSTERS","怪物 (每族 Lv1-5 + Boss)","Monsters (Lv1-5 + Boss per clan)"
"GALLERY_TOWERS","守城武器 (20)","Defenses (20)"
"GALLERY_SPELLS","魔法 (15)","Spells (15)"
"BESTIARY_TITLE","圖鑑","Compendium"
"BESTIARY_UNKNOWN_FAM","？？？族","??? Clan"
"BESTIARY_UNKNOWN","？？？","？？？"
"BESTIARY_HINT","左右滑動或用 ‹ › 翻頁 · 於戰鬥中見過的怪物才會解鎖","Swipe or tap ‹ › to turn pages · Only creatures met in battle are revealed"
"BESTIARY_LOCKED_1","尚未在戰鬥中遇見","Not yet encountered in battle"
"BESTIARY_LOCKED_2","擊退牠即可解鎖圖鑑","Fight it to unlock this entry"
"BESTIARY_BOSS_DROP","擊敗獎勵:水晶","Crystals on defeat"
"BESTIARY_TRAIT","族群特性","Clan Trait"
"BESTIARY_BOSS_SKILL","首領技能","Boss Skill"
"STAT_HP","生命 HP","Health"
"STAT_SPEED","移動速度","Move Speed"
"STAT_ARMOR","護甲","Armor"
"STAT_MRES","魔法抗性","Magic Resist"
"STAT_GOLD_DROP","金幣掉落","Gold Drop"
"STAT_TYPE","類型","Type"
"TYPE_FLYING","飛行","Flying"
"TYPE_GROUND","地面","Ground"
"HUD_BOSS_COUNTDOWN","BOSS 倒數 {n} 秒","BOSS IN {n}s"
"HUD_BOSS_HERE","BOSS 出場!","BOSS INCOMING!"
"HUD_BOSS_NAME","{fam} BOSS","{fam} BOSS"
"HUD_HINT_BUILD","點擊空地建塔","Tap open ground to build"
"HUD_BUILD","建造","Build"
"HUD_MORE","更多","More"
"HUD_HINT_DRAWER","拖出去放塔,或者撳一下再撳地圖","Drag out to place, or tap then tap the map"
"HUD_SELL","賣塔","Sell"
"HUD_SELL_VALUE","賣塔 +{n}","Sell +{n}"
"HUD_PAUSED","暫停","Paused"
"HUD_RESUME","繼續遊戲","Resume"
"UPG_TAB_TOWER","塔","Towers"
"UPG_PERF","性能面板","Performance"
"UPG_DPS_LABEL","綜合輸出","Overall Output"
"UPG_DPS_VALUE","{v} DPS","{v} DPS"
"UPG_RATE_VALUE","{v} /秒","{v} /s"
"UPG_SEC_VALUE","{v} 秒","{v}s"
"UPG_GOLD_VALUE","{n} 金","{n} Gold"
"UPG_COST","造價","Build Cost"
"UPG_MECH","機制說明","How It Works"
"UPG_PATHS","升級方向","Upgrade Paths"
"UPG_LEVEL","等級 {lv}/{max}","Level {lv}/{max}"
"UPG_BUY","升級","Upgrade"
"UP_ATK","攻擊","Attack"
"UP_RATE","攻速","Fire Rate"
"UP_RANGE","射程","Range"
"UP_CRIT","暴擊率","Crit Chance"
"UP_CRITDMG","暴擊傷害","Crit Damage"
"UP_DOUBLE","雙重射擊","Double Shot"
"UP_SPLASH","爆炸範圍","Blast Radius"
"UP_ARMORPEN","破甲","Armor Pierce"
"UP_KNOCKCHANCE","擊退機率","Knockback Chance"
"UP_CHAIN","連鎖數","Chain Count"
"UP_FALLOFF","連鎖衰減降低","Less Chain Falloff"
"UP_STUNCHANCE","麻痺機率","Stun Chance"
"UP_BURN","燃燒傷害","Burn Damage"
"UP_BURNDUR","燃燒持續","Burn Duration"
"UP_DETONATE","爆燃機率","Detonate Chance"
"UP_SLOWAMT","減速幅度","Slow Power"
"UP_SLOWDUR","減速持續","Slow Duration"
"UP_FREEZE","冰凍機率","Freeze Chance"
"UP_PSTACK","每層毒傷 / 重傷","Damage per Stack / Mortal Wound"
"UP_PMAX","最大疊層","Max Stacks"
"UP_PBURST","毒爆範圍","Toxic Burst Radius"
"UP_EXECUTE","處決線","Execute Threshold"
"UP_PIERCE","貫穿","Pierce"
"UP_BASERATE","基礎攻速","Base Fire Rate"
"UP_HEATMAX","熱度上限","Max Heat"
"UP_HEATRATE","升溫速度","Heat Buildup"
"UP_SPREAD","散射機率","Spread Chance"
"UP_FRAG","彈片分裂","Shrapnel"
"UP_SCORCH","燒灼地面","Scorched Ground"
"UP_DPS","每秒傷害","Damage per Second"
"UP_RAMPMAX","增傷上限","Max Ramp Bonus"
"UP_RAMPRATE","增傷速度","Ramp Speed"
"UP_MELTARMOR","融甲蝕魔","Melt Armor & Ward"
"UP_DUAL","雙光束","Twin Beam"
"UP_AREA","範圍","Radius"
"UP_VULN","脆弱","Vulnerability"
"UP_PULSEDMG","脈衝傷害","Pulse Damage"
"UP_PULSERATE","脈衝頻率","Pulse Rate"
"UP_BOSSEFF","對boss有效率","Boss Effectiveness"
"UP_GOLDAMT","產金量","Gold per Tick"
"UP_GOLDRATE","產金頻率","Gold Rate"
"UP_KILLRANGE","擊殺加成範圍","Bonus Kill Radius"
"UP_KILLBONUS","範圍擊殺金%","Kill Gold Bonus"
"UP_CRITGOLD","暴擊產金","Gold Crit Chance"
"UP_STARTGOLD","開場獎勵金","Starting Gold"
"UP_SOLDIERDMG","士兵攻擊","Soldier Attack"
"UP_SOLDIERHP","士兵HP","Soldier HP"
"UP_SOLDIERCOUNT","同時兵數","Soldier Count"
"UP_RESPAWN","重生速度","Respawn Speed"
"UP_SOLDIERARMOR","士兵護甲","Soldier Armor"
"UP_RALLY","集結範圍","Rally Range"
"UP_FLYDIST","飛行距離","Flight Distance"
"UP_BOOMCOUNT","迴旋鏢數","Boomerang Count"
"UP_ADDSLOW","附帶減速","Added Slow"
"UP_RETURNMULT","回程增傷","Return Damage"
"UP_DAMAGE","傷害","Damage"
"UP_TRIGGERRATE","觸發頻率","Trigger Rate"
"UP_SEGLEN","覆蓋路段長度","Path Coverage"
"UP_BLEED","流血疊層","Bleed Stacks"
"UP_HEAVYMULT","對重型增傷","Bonus vs Heavy"
"UP_BOSSMULT","對boss增傷","Bonus vs Boss"
"UP_SALVO","齊射數量","Salvo Size"
"UP_CURSE","詛咒幅度","Curse Power"
"UP_AURARANGE","光環範圍","Aura Radius"
"UP_GOLDBONUS","掉金加成","Gold Bonus"
"UP_LINGER","詛咒殘留","Curse Lingering"
"UP_CURSESLOW","衰弱減速","Weakening Slow"
"UP_AURAHASTE","光環攻速加成","Aura Haste"
"UP_PURIFY","淨化","Purify"
"UP_KNOCKDIST","擊退距離","Knockback Distance"
